Dublin Core element,DC element use,Data value standard to use,Our solution
Title,A name given to the resource.,,
Subject,The topic of the resource.,,
Description,An account of the resource.,,
Creator,An entity primarily responsible for making the resource.,,
Publisher,An entity responsible for making the resource available.,,
Contributor,An entity responsible for making contributions to the resource.,,
Date,A point or period of time associated with an event in the lifecycle of the resource.,DACS 2.4 (Date),
Type,The nature or genre of the resource.,DCMI Type Vocabulary,
Format,"The file format, physical medium, or dimensions of the resource.",,
Identifier,An unambiguous reference to the resource within a given context.,,
Source,A related resource from which the described resource is derived.,,
Language,A language of the resource.,ISO 639-3,
Relation,A related resource.,,
Coverage,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant.",,
Rights,Information about rights held in and over the resource.,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,